LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,1,0,0,1,2,2,2,2
11006,0,0,0,0,2,0,0,0,0
11010,0,0,0,2,0,0,0,0,1
11013,0,1,0,2,2,2,1,0,0
11014,1,2,1,0,1,1,2,2,1
11016,0,1,0,0,0,0,1,0,0
11017,0,2,1,0,0,1,1,2,0
11018,0,0,0,0,0,1,1,2,2
11020,0,1,0,NA,1,1,1,1,0
11021,0,0,0,0,0,NA,0,0,0
11024,1,0,1,0,1,1,2,2,0
11025,0,0,0,0,1,1,1,1,0
11031,2,1,2,1,2,2,2,1,1
11038,1,3,2,3,1,1,1,3,0
11040,2,2,2,2,2,1,2,3,3
11041,1,0,0,0,0,0,0,0,0
11045,0,0,0,0,1,0,1,1,0
11050,0,0,0,0,0,0,0,0,0
12001,0,0,0,0,1,0,0,0,0
12002,1,0,1,2,0,1,0,2,0
12003,0,0,0,0,0,0,0,0,0
12005,0,1,1,1,1,1,1,1,1
12007,0,1,0,NA,0,0,1,0,0
12009,1,2,0,0,0,0,0,0,0
12011,0,0,0,0,0,0,0,0,0
12013,0,1,2,0,2,1,0,2,1
12015,0,0,0,0,0,0,0,0,0
12016,1,3,2,2,1,2,1,1,1
12017,0,0,0,0,0,1,1,1,1
12024,1,0,1,0,1,0,0,0,0
12028,2,1,2,1,2,1,2,2,1
12029,0,1,2,1,2,1,1,1,2
12032,1,1,1,0,0,1,0,0,1
12033,2,0,1,0,1,0,0,0,0
12038,0,0,0,0,0,0,0,0,0
12040,2,1,1,2,2,2,1,2,2
13002,2,0,0,0,1,0,1,0,0
13004,0,1,2,1,2,1,1,1,1
13007,0,1,1,0,1,1,1,0,0
13008,2,2,1,2,2,0,1,1,1
13009,0,2,1,0,0,0,0,1,2
13020,3,3,1,2,2,2,2,1,1
13022,0,0,0,0,0,0,0,0,0
13023,2,1,1,1,1,3,1,1,1
13027,0,0,NA,0,0,0,0,0,0
13029,1,1,0,1,2,2,2,1,1
13030,1,1,0,2,0,0,1,0,NA
