LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
12001,1,1,1,0,0,0,1,1,0
12002,1,1,0,0,1,0,1,0,0
12003,0,0,0,0,0,0,0,0,0
12005,0,0,1,1,1,0,1,3,0
12007,2,1,1,1,1,1,1,0,1
12009,1,1,1,1,1,1,2,1,1
12011,0,0,0,0,0,0,0,0,0
12013,1,1,1,1,1,1,2,1,2
12017,0,0,1,3,1,0,0,0,0
12024,2,0,1,1,2,1,1,1,2
12028,1,1,1,1,1,1,1,1,0
12029,1,1,0,1,1,1,1,2,1
12032,1,1,1,1,1,1,2,1,0
12033,0,1,1,0,1,0,1,1,1
12038,1,0,1,0,0,0,0,0,0
12040,3,1,1,1,2,0,2,1,1
12042,0,0,1,1,2,1,1,1,2
12044,1,1,1,2,2,1,1,1,1
13002,2,1,1,1,1,1,2,3,1
13004,1,2,1,1,1,1,1,1,1
13007,0,0,0,2,1,1,1,1,1
13008,2,3,3,2,1,2,1,2,3
13009,0,1,0,0,0,0,0,1,1
13020,1,1,1,1,1,1,1,2,1
13023,1,1,2,1,3,2,2,3,4
13024,2,2,1,2,2,1,1,1,2
13027,0,0,0,0,0,0,0,0,0
13030,0,1,2,0,0,0,0,0,0
13037,5,3,5,5,3,2,5,5,3
13039,1,0,NA,1,1,0,3,1,2
13040,1,2,1,1,1,1,2,1,1
13043,1,1,2,0,1,0,0,0,1
13044,1,1,1,1,1,1,1,1,0
13048,1,2,0,1,0,0,1,2,2
13056,1,1,1,1,1,1,1,0,1
13060,2,2,2,1,2,1,3,2,5
22001,2,2,2,2,1,1,1,2,2
22007,1,3,2,2,4,2,2,2,2
22009,1,0,1,1,3,0,0,1,1
22010,1,1,1,1,1,1,2,1,1
22018,0,0,1,1,0,1,0,1,1
22021,2,1,3,1,1,4,2,1,2
22022,1,1,1,0,1,1,0,1,0
22024,1,1,1,1,1,3,1,1,1
22026,0,0,0,0,0,1,0,0,0
22028,1,2,0,1,0,1,0,0,1
22040,1,3,1,3,3,2,2,6,3
22042,1,0,0,1,1,1,1,0,1
22047,1,1,1,1,1,1,2,1,0
22054,1,1,2,2,1,2,1,1,1
22059,1,1,3,2,1,1,1,3,1
22060,3,3,3,2,2,2,3,2,2
22065,1,1,3,1,1,0,1,3,2
22075,0,0,0,1,0,0,0,1,1
23006,0,0,1,1,NA,1,4,4,3
23007,2,2,1,1,1,1,1,2,2
23010,3,1,2,1,1,1,1,0,2
23016,2,1,1,0,0,0,1,1,0
23020,1,1,1,1,0,1,1,1,2
23021,1,1,2,1,2,1,0,2,2
23022,2,1,1,2,1,1,1,3,2
23029,1,2,1,0,1,1,1,1,1
23036,1,1,1,1,2,1,0,0,2
23040,1,1,1,2,2,2,1,1,1
23047,1,1,1,2,1,1,1,1,0
23060,0,2,1,1,0,1,0,0,0
23063,0,1,1,1,1,1,1,0,0
23064,1,0,1,1,0,0,0,0,0
23070,1,1,1,1,1,1,1,1,1
23074,1,1,1,1,0,1,0,1,1
23076,0,0,0,1,0,0,0,0,4
23082,1,1,1,1,1,1,0,0,1
