LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,0,0,0,0,0,1,0,0
11006,0,0,0,0,0,0,0,0,0
11010,0,0,0,0,0,0,0,0,0
11013,0,0,0,0,1,0,0,0,0
11014,1,1,0,0,0,0,0,0,0
11016,1,1,1,1,1,2,1,1,1
11017,0,0,0,0,0,0,0,0,0
11018,0,0,0,0,0,0,0,1,0
11020,0,0,0,0,0,0,0,0,0
11021,0,0,0,0,0,0,0,0,0
11025,0,0,0,0,0,0,0,0,0
11031,1,0,0,0,0,0,0,0,0
11038,1,0,0,0,0,0,0,0,0
11040,1,1,2,0,1,0,1,0,0
11041,0,0,0,0,0,0,0,0,0
11045,0,1,0,0,0,0,0,0,0
11050,0,0,0,0,0,0,0,0,0
11051,0,2,2,2,2,0,1,2,1
12001,0,0,0,0,0,0,0,0,0
12002,0,0,0,0,0,0,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,0,0,0,0,0,0,0,0,0
12007,0,0,0,0,0,0,0,0,0
12009,0,0,0,0,0,0,0,0,0
12011,0,0,0,0,0,0,0,0,0
12013,0,0,0,0,0,0,0,0,0
12017,0,0,0,0,0,0,0,0,0
12024,4,0,0,0,0,0,0,0,0
12028,0,0,0,0,0,0,0,1,1
12029,0,0,0,0,0,0,0,0,0
12032,0,0,0,0,0,0,0,0,0
12033,0,0,0,0,0,0,1,0,0
12038,0,0,0,0,0,0,0,0,0
12040,0,0,0,0,0,0,0,0,1
12042,0,0,0,0,0,0,0,0,0
12044,0,0,0,0,1,0,0,0,0
13002,0,1,0,0,0,0,0,1,1
13004,0,0,0,0,0,0,0,0,0
13007,0,0,0,0,0,0,0,1,1
13008,2,1,1,2,0,1,1,0,0
13009,0,1,0,1,0,0,0,0,2
13020,0,0,0,2,0,0,0,0,0
13023,0,1,0,0,1,1,0,1,2
13027,0,0,0,0,0,0,0,0,0
13030,0,0,1,1,0,0,1,0,1
13037,0,0,0,0,0,0,0,0,0
13039,0,0,0,0,0,0,0,1,0
13040,0,1,1,1,1,0,1,1,2
13043,0,0,0,0,0,0,0,0,0
13044,NA,0,0,0,0,0,0,0,0
13048,0,1,1,0,0,1,1,1,2
13056,0,0,1,0,1,0,0,1,0
13060,0,0,0,0,0,0,0,1,0
13066,0,0,1,1,0,0,1,0,1
14001,0,0,0,0,0,0,0,0,0
14007,1,1,1,0,0,0,0,1,1
14008,1,0,0,0,1,1,0,0,0
14009,0,0,0,0,0,0,0,0,0
14013,0,0,0,0,0,0,0,0,0
14020,0,1,0,0,0,0,0,0,0
14024,0,0,0,0,0,0,0,0,0
14028,0,1,0,0,0,0,0,0,0
14029,0,0,0,0,0,0,0,0,0
14030,1,1,0,0,0,0,0,1,1
14036,0,0,0,0,0,0,0,0,0
14037,0,0,0,0,0,0,0,0,0
14044,2,0,1,1,0,0,1,1,0
14048,0,0,0,0,0,0,0,0,0
14056,2,1,0,0,1,1,0,0,0
14057,0,0,0,0,0,1,0,0,0
14059,0,3,0,3,2,1,1,2,1
14062,0,0,0,0,0,0,0,0,0
21005,2,0,0,1,0,0,0,0,0
21006,0,0,3,2,4,1,1,2,0
21007,1,1,1,0,0,2,0,0,0
21008,0,0,0,0,0,0,0,0,0
21012,0,0,0,0,0,0,0,0,0
21013,0,4,2,1,2,4,2,1,1
21020,2,0,0,0,0,0,0,0,0
21049,1,1,2,0,0,0,1,1,0
21052,0,0,0,0,1,0,0,0,0
