LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,0,0,0,0,0,0,0,0
11006,0,0,0,0,0,0,0,0,0
11010,0,0,0,0,0,0,0,0,0
11013,0,0,0,0,0,0,0,0,0
11014,4,2,1,0,1,1,0,1,0
11016,0,1,2,3,1,1,1,3,1
11017,1,0,0,1,0,0,1,1,0
11018,0,0,2,0,0,0,0,0,0
11020,0,0,0,0,0,0,0,0,0
11021,0,0,0,0,0,0,0,0,0
11025,0,0,0,0,1,0,0,0,0
11031,0,0,0,0,0,1,0,1,1
11038,1,0,0,0,0,0,0,0,0
11040,1,3,1,2,1,1,1,1,1
11041,0,0,0,0,0,0,0,0,0
11045,1,0,1,1,1,0,0,0,1
11050,1,0,0,0,0,1,0,1,1
11051,1,2,2,1,1,0,0,1,0
12001,0,0,0,0,0,0,0,0,0
12002,0,0,0,1,0,0,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,0,0,1,0,0,0,0,1,1
12007,0,0,0,0,0,0,0,1,1
12009,1,0,0,1,0,2,2,0,1
12011,0,0,0,0,0,0,0,0,0
12013,0,0,0,0,0,0,0,1,0
12017,0,0,0,0,0,0,0,0,0
12024,1,0,0,0,0,0,0,0,1
12028,0,0,1,1,0,0,0,1,1
12029,0,0,0,0,0,0,0,1,1
12032,0,0,0,0,1,1,0,0,1
12033,0,0,0,0,0,0,1,1,1
12038,0,0,0,0,0,0,0,0,0
12040,0,0,0,0,0,0,1,0,0
12042,0,0,0,0,0,0,2,0,1
12044,0,0,0,0,1,0,0,0,2
13002,0,0,0,0,0,0,0,0,1
13004,0,0,0,0,0,0,0,0,1
13007,1,0,0,0,0,0,0,1,1
13008,1,0,1,0,0,1,0,0,0
13009,0,1,0,0,0,0,0,0,0
13020,1,0,0,1,1,0,1,0,0
13023,0,1,1,0,0,0,1,1,1
13027,0,0,0,0,0,0,0,0,0
13030,0,0,1,1,3,0,1,0,1
13037,0,2,0,1,1,4,4,3,1
13039,0,1,1,2,1,0,0,1,2
13040,1,0,1,1,2,1,1,1,1
13043,1,1,1,1,1,1,0,1,1
13044,NA,0,0,0,1,0,1,0,1
13048,1,0,1,0,1,1,0,2,2
13056,0,0,1,0,0,0,0,1,0
13060,0,1,0,0,0,0,1,0,1
13066,0,0,2,2,0,2,2,1,2
14001,0,0,0,0,0,0,0,0,0
14007,1,1,0,1,0,0,1,1,0
14008,1,1,1,0,1,1,0,1,1
14009,0,1,1,0,0,0,0,0,1
14013,0,0,0,0,0,0,0,0,0
14020,0,0,0,1,1,0,0,0,0
14024,0,0,0,0,0,0,0,0,0
14028,0,0,1,0,1,0,0,0,0
14029,0,0,0,0,0,0,1,0,0
14030,1,0,0,0,0,0,0,0,0
14036,0,0,0,0,0,0,0,0,0
14037,0,0,1,0,1,0,0,0,0
14044,2,0,0,1,0,0,0,0,0
14048,0,1,0,0,1,1,0,1,1
14056,2,1,1,0,0,0,0,1,1
14057,0,0,0,0,0,0,0,0,0
14059,0,0,1,2,1,1,1,1,1
14062,0,0,1,0,0,0,0,0,0
21005,1,0,0,0,0,0,0,0,0
21006,1,0,2,1,1,1,1,1,1
21007,1,0,1,0,0,1,0,1,0
21008,0,0,0,0,0,0,0,0,0
21012,0,0,0,0,0,0,0,0,0
21013,0,1,1,0,1,1,2,2,0
21020,0,0,0,0,0,0,0,0,0
21049,1,0,0,0,0,0,0,0,0
21052,0,0,0,0,0,0,0,0,0
