SiteID,ClosedCover,AgCover
12001,1,5
12002,1,1
12003,1,62
12005,1,0
12007,0,35
12009,0,77
12011,0,48
12013,1,0
12017,1,8
12024,0,55
12028,1,42
12029,1,3
12032,1,2
12033,1,5
12038,0,34
12040,1,22
12042,1,52
12044,1,11
13002,0,63
13004,1,21
13007,0,88
13008,0,49
13009,0,60
13020,1,44
13023,1,62
13024,0,70
13027,0,83
13030,0,76
13037,0,56
13039,1,25
13040,0,83
13043,0,91
13044,0,87
13048,0,52
13056,1,57
13060,1,51
22001,1,79
22007,1,68
22009,1,65
22010,1,32
22018,1,10
22021,1,28
22022,1,87
22024,1,19
22026,0,26
22028,0,77
22040,0,74
22042,1,22
22047,1,36
22054,0,11
22059,1,85
22060,1,60
22065,1,16
22075,1,35
23006,0,18
23007,0,79
23010,0,82
23016,1,75
23020,0,57
23021,0,18
23022,0,59
23029,1,80
23036,1,78
23040,0,53
23047,0,79
23060,1,65
23063,0,83
23064,1,77
23070,1,52
23074,0,55
23076,1,66
23082,0,59
